"Início_do_EPU","Término_do_EPU","Duração_do_EPU","Estacoes no 2d EPU","MÉD concentrações EPU","MÁX concentrações EPU"
"2005-02-21","2005-02-25",5,8,65.698225,112.63
"2005-03-08","2005-03-12",5,10,70.08348,108.63
"2005-04-10","2005-04-16",7,9,64.96,109.27
"2005-05-05","2005-05-21",17,4,74.7440935251798,172.88
"2005-06-06","2005-06-18",13,8,71.7918782608696,143.21
"2005-06-23","2005-07-04",12,9,65.9687572815534,119.42
"2005-07-27","2005-08-07",12,9,75.4851018518519,140.92
"2005-08-11","2005-08-18",8,4,60.7126666666667,114.04
"2005-08-27","2005-08-31",5,10,80.5247916666667,160.29
"2006-01-12","2006-01-16",5,8,50.0776888888889,61.458
"2006-05-25","2006-05-31",7,10,66.6788611111111,109.8
"2006-06-04","2006-06-11",8,10,67.02775,115.27
"2006-06-18","2006-06-24",7,10,71.5531780821918,117.96
"2006-06-29","2006-07-09",11,9,63.0076785714286,120.83
"2006-07-11","2006-07-15",5,11,63.2896727272727,108.5
"2006-07-17","2006-07-28",12,11,99.1635378787879,164.79
"2006-08-03","2006-08-16",14,10,71.1968066666667,115.17
"2006-08-22","2006-08-26",5,11,81.0911090909091,135.92
"2006-09-08","2006-09-15",8,11,79.3191022727273,142.46
"2007-02-27","2007-03-03",5,5,46.39194,70.792
"2007-03-26","2007-04-03",9,10,63.1063555555556,147.8
"2007-06-04","2007-06-15",12,10,78.1321428571429,145.14
"2007-06-17","2007-06-24",8,9,67.8500714285714,149
"2007-06-26","2007-07-10",15,12,78.8869709302326,173.59
"2007-07-31","2007-08-04",5,7,81.2182285714286,113.88
"2007-08-06","2007-08-11",6,6,66.7167708333333,121.42
"2007-08-13","2007-08-20",8,7,65.050765625,127.83
"2007-08-22","2007-08-27",6,8,90.05125,149.5
"2007-08-31","2007-09-16",17,8,60.9796690140845,126
"2007-09-18","2007-09-24",7,9,91.4181587301587,244.79
"2007-10-01","2007-10-13",13,7,72.7600720720721,133.75
"2008-04-23","2008-04-29",7,9,62.6832380952381,82.417
"2008-05-15","2008-05-29",15,8,75.6953709677419,116.42
"2008-06-04","2008-06-14",11,7,58.4259775280899,92.375
"2008-06-16","2008-06-21",6,7,74.6355813953488,146.83
"2008-06-26","2008-07-10",15,10,75.1545155279503,147.42
"2008-07-13","2008-07-24",12,10,90.5954186046512,154.42
"2008-07-26","2008-08-02",8,11,84.1269651162791,159.54
"2008-08-14","2008-08-21",8,10,78.5211097560976,118.71
"2008-08-24","2008-08-29",6,10,76.9160634920635,138.75
"2008-09-01","2008-09-06",6,10,81.1342666666667,139.96
"2008-10-21","2008-10-26",6,7,48.6356515151515,70.917
"2009-05-05","2009-05-09",5,9,56.8442727272727,83.458
"2009-05-21","2009-05-27",7,6,56.3564047619048,86.125
"2009-06-20","2009-06-24",5,12,70.0892711864407,187.71
"2009-06-29","2009-07-03",5,9,55.9935818181818,112.25
"2009-07-06","2009-07-10",5,11,59.7628181818182,123.29
"2009-08-05","2009-08-10",6,10,59.2453787878788,97.417
"2009-08-27","2009-09-04",9,12,70.0515092592593,134.71
"2010-02-01","2010-02-05",5,5,47.988568627451,94
"2010-03-08","2010-03-13",6,9,62.1231515151515,113.79
"2010-04-15","2010-04-23",9,9,65.1944545454545,138.46
"2010-05-02","2010-05-07",6,11,69.6677272727273,121.08
"2010-06-14","2010-06-20",7,11,88.4496103896104,145.63
"2010-06-23","2010-07-12",20,11,71.0244444444444,177.5
"2010-07-19","2010-07-23",5,8,64.2238,141
"2010-07-28","2010-08-01",5,10,59.5908367346939,99.25
"2010-08-18","2010-09-04",18,10,105.771673796791,187.5
"2011-01-20","2011-01-29",10,6,52.4077575757576,131.55
"2011-05-22","2011-05-26",5,10,69.7100188679245,170
"2011-06-10","2011-07-02",23,10,66.2636600790514,116.13
"2011-07-08","2011-07-21",14,10,79.4136688311688,166.75
"2011-07-25","2011-07-29",5,11,71.4158,112.54
"2011-08-04","2011-08-08",5,11,69.8939090909091,106.04
"2011-08-15","2011-08-19",5,11,69.6258,106.05
"2011-11-05","2011-11-11",7,7,56.1794805194805,128
"2012-02-05","2012-02-09",5,9,58.1781578947368,82.222
"2012-06-14","2012-06-18",5,12,56.07545,108.33
"2012-06-26","2012-07-06",11,11,69.1652290076336,113
"2012-07-19","2012-07-29",11,12,65.1014621212121,126.25
"2012-07-31","2012-08-04",5,10,58.053186440678,100.5
"2012-08-07","2012-08-14",8,12,62.1056842105263,103
"2012-08-19","2012-08-25",7,11,56.0313493975904,107.75
"2012-08-31","2012-09-12",13,12,68.7775512820513,126
"2012-09-14","2012-09-20",7,12,75.6271927710843,151.33
"2012-09-30","2012-10-10",11,12,61.8278130081301,101.25
"2013-04-25","2013-05-04",10,12,68.3071779661017,121
"2013-05-08","2013-05-16",9,10,61.0129591836735,103.08
"2013-06-03","2013-06-15",13,7,56.9051615384615,122.13
"2013-07-29","2013-08-13",16,10,75.7016608187134,126.17
"2013-08-20","2013-08-25",6,11,61.7919242424242,109.67
"2013-08-29","2013-09-03",6,11,65.2303428571429,103.63
"2013-09-08","2013-09-16",9,12,64.5687777777778,120.5
"2014-01-28","2014-02-01",5,6,48.3338793103448,64.875
"2014-02-09","2014-02-13",5,9,50.4080701754386,71.667
