"Início_do_EPU","Término_do_EPU","Duração_do_EPU","Estacoes no 2d EPU","MÉD concentrações EPU","MÁX concentrações EPU"
"2005-03-10","2005-03-12",3,6,133.67625,230.33
"2005-10-12","2005-10-14",3,6,126.800416666667,162.88
"2006-01-07","2006-01-11",5,8,104.888333333333,137
"2006-01-13","2006-01-16",4,8,118.779305555556,166.75
"2006-02-03","2006-02-06",4,9,114.093555555556,201.25
"2006-04-13","2006-04-15",3,6,113.36,161
"2006-09-10","2006-09-15",6,7,110.744925925926,175
"2007-02-22","2007-02-24",3,7,104.374448275862,147.5
"2007-03-31","2007-04-03",4,7,118.935051282051,194.5
"2007-09-07","2007-09-09",3,9,108.733666666667,145.75
"2007-09-14","2007-09-16",3,8,112.165925925926,153.63
"2007-10-09","2007-10-13",5,8,126.91285,181.88
"2007-12-01","2007-12-04",4,7,111.14178125,188.5
"2007-12-28","2007-12-31",4,9,122.23875,157.5
"2008-09-02","2008-09-04",3,5,98.0492666666667,134.8
"2008-10-14","2008-10-16",3,9,112.674085714286,201.71
"2008-12-07","2008-12-10",4,8,115.896219512195,180
"2009-11-01","2009-11-04",4,9,114.332854166667,159.17
"2009-12-20","2009-12-24",5,7,118.631474576271,217.25
"2010-08-20","2010-08-27",8,8,120.26196,178.57
"2010-09-01","2010-09-04",4,9,123.088027777778,167.29
"2010-11-19","2010-11-21",3,8,126.3485,167.88
"2011-01-28","2011-01-30",3,11,134.289545454545,178.25
"2011-09-18","2011-09-20",3,5,106.831733333333,138.13
"2011-09-29","2011-10-01",3,10,151.335862068966,200.5
"2011-10-22","2011-10-24",3,10,116.689060606061,158.75
"2011-10-27","2011-10-29",3,6,120.490393939394,191.88
"2011-11-05","2011-11-11",7,11,127.169285714286,191.25
"2011-12-20","2011-12-23",4,11,129.821813953488,188
"2012-01-03","2012-01-05",3,11,113.275,150.14
"2012-02-03","2012-02-08",6,12,140.823861111111,215.63
"2012-02-27","2012-03-01",4,8,124.968291666667,201.5
"2012-09-07","2012-09-09",3,9,122.151060606061,179.13
"2012-09-15","2012-09-19",5,12,115.254866666667,165.5
"2012-09-30","2012-10-03",4,12,125.130833333333,194.67
"2012-10-06","2012-10-10",5,9,120.413961538462,176.13
"2012-10-27","2012-10-31",5,10,139.509811320755,233.38
"2012-11-22","2012-11-24",3,11,116.595588235294,164.88
"2013-02-18","2013-02-20",3,8,118.374611111111,175.43
"2013-08-31","2013-09-02",3,12,110.217638888889,156.88
"2013-09-13","2013-09-15",3,10,110.174714285714,136.13
"2013-10-19","2013-10-21",3,8,101.194696969697,129.14
"2013-11-09","2013-11-11",3,12,121.478194444444,176.75
"2014-01-06","2014-01-10",5,7,104.419736842105,154.5
"2014-01-27","2014-02-01",6,11,134.161768115942,212.33
"2014-02-04","2014-02-14",11,11,124.487437121212,176.88
"2014-08-22","2014-08-24",3,10,110.685322580645,153.25
"2014-09-13","2014-09-15",3,11,118.908055555556,148.75
"2014-10-08","2014-10-14",7,11,145.609695121951,230.38
"2014-10-16","2014-10-19",4,11,137.029468085106,221.38
"2014-10-29","2014-10-31",3,11,117.204722222222,151.13
"2014-11-19","2014-11-21",3,7,117.086290322581,146.75
"2014-12-17","2014-12-19",3,12,130.087342857143,210.5
"2014-12-26","2014-12-28",3,12,121.720138888889,159.25
"2015-01-06","2015-01-09",4,7,116.033791666667,155.75
"2015-01-11","2015-01-20",10,9,141.211294642857,213.75
"2015-08-29","2015-08-31",3,11,110.63,144.75
"2015-09-17","2015-09-20",4,11,119.412708333333,186.17
